Job Title,Company,Location,Link,Source,Skills Used,Profile Type,Similarity Score
Software Application Engineering Manager,Intel,Bengaluru,https://www.naukri.com/job-listings-software-application-engineering-manager-intel-technology-india-pvt-ltd-bengaluru-7-to-10-years-290425916849,Naukri,"css, java, machine learning",Fresher,0.423
React Developer,GITS RECRUITMENT PRIVATE LIMITED,"Bangalore, Chennai",https://www.shine.com/jobs/react-developer/gits-recruitment-private-limited/17060062,Shine,"css, java, machine learning",Fresher,0.422
GenAI Specialist,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"Bangalore, Noida
+7",https://www.shine.com/jobs/genai-specialist/capgemini-technology-services-india-limited/17157284,Shine,"css, java, machine learning",Fresher,0.417
GenAI Specialist,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"Bangalore, Noida
+7",https://www.shine.com/jobs/genai-specialist/capgemini-technology-services-india-limited/17157286,Shine,"css, java, machine learning",Fresher,0.417
Senior LLM Engineer,Guru Kripa Consultants,"Bangalore, Chennai
+7",https://www.shine.com/jobs/senior-llm-engineer/guru-kripa-consultants/17104605,Shine,"css, java, machine learning",Fresher,0.414
Software Engineer Fresher,Karnataka Information Solution,"Bangalore, Chennai
+1",https://www.shine.com/jobs/software-engineer-fresher/karnataka-information-solution/17104641,Shine,"css, java, machine learning",Fresher,0.396
GPSG-Application Developer: Full Stack Developer,IBM,Bengaluru,https://www.naukri.com/job-listings-gpsg-application-developer-full-stack-developer-ibm-india-pvt-limited-bengaluru-3-to-6-years-200525924986,Naukri,"css, java, machine learning",Fresher,0.392
Software Developer Internships ( 2024 - 2025 ) batch,Yugayatra Retail OPC Private Limited,Bangalore,https://www.timesjobs.com/job-detail/software-developer-internships-2024-2025-batch-yugayatra-retail-opc-private-limited-bengaluru-bangalore-hyderabad-secunderabad-0-to-1-yrs-jobid-Oqb5Dm3cPflzpSvf__PLUS__uAgZw==&source=srp,TimesJobs,"css, java, machine learning",Fresher,0.388
Machine Learning Engineer,Analytics Vidhya,Bangalore,https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-bengaluru-bangalore-1-to-2-yrs-jobid-Xtl7n__PLUS__e8__SLASH__6FzpSvf__PLUS__uAgZw==&source=srp,TimesJobs,"css, java, machine learning",Fresher,0.384
"WalkMe Specialist or, Developer for Bangalore",WHITE HORSE MANPOWER CONSULTANCY (P) LTD,Bangalore,https://www.shine.com/jobs/walkme-specialist-or-developer-for-bangalore/white-horse-manpower-consultancy-p-ltd/17021169,Shine,"css, java, machine learning",Fresher,0.373
